no.,pcd_name,x,y,z,angle,reverse,volume,length,width,height,bias,weight
1,1-0.25-0.pcd,-0.020350096,-0.015211681,0.232426944,-17.54552956,0,1.97E-05,-0.039624123,-0.032224126,-0.036406884,-2,19.01
2,1-0.25-15.pcd,-0.015719775,-0.012953782,0.23384682,-30.29960074,0,1.86E-05,-0.040120172,-0.032017212,-0.034553711,-2,19.01
3,1-0.25-30.pcd,-0.010780212,-0.007585438,0.233137622,-43.09936205,0,2.22E-05,-0.04124841,-0.03315195,-0.036233166,-2,19.01
4,1-0.25-45.pcd,-0.011686575,-0.009953189,0.234288331,-56.96952847,0,2.04E-05,-0.040757521,-0.030836883,-0.033767175,-2,19.01
5,1-0.25-60.pcd,-0.00916559,-0.006998491,0.232580694,-67.11647951,0,2.14E-05,-0.042887706,-0.031033535,-0.037002425,-2,19.01
6,1-0.25-75.pcd,-0.010192806,-0.006078702,0.234553806,-78.57259508,0,1.94E-05,-0.038838874,-0.032430974,-0.032382576,-2,19.01
7,1-0.25-90.pcd,-0.012189674,-0.003671044,0.232723222,87.87832389,1,2.19E-05,-0.039310882,-0.031459916,-0.034581163,-2,19.01
8,1-0.35-0.pcd,-0.022562054,-0.011957338,0.3380791,-22.78504693,0,1.82E-05,-0.039566819,-0.032527912,-0.029434054,-2,19.01
9,1-0.35-15.pcd,-0.012018107,-0.003168028,0.338336739,-39.64260761,0,2.01E-05,-0.038970778,-0.032085348,-0.02927256,-2,19.01
10,1-0.35-30.pcd,-0.011782507,-0.005791828,0.338442997,-48.82871134,0,1.99E-05,-0.040414271,-0.031092396,-0.029471559,-2,19.01
11,1-0.35-45.pcd,-0.007196465,-0.004567997,0.338285927,-57.10886165,0,1.79E-05,-0.041064491,-0.030042266,-0.029758077,-2,19.01
12,1-0.35-60.pcd,-0.002520788,-0.003037817,0.337983199,-69.21348007,0,1.92E-05,-0.039867597,-0.030783867,-0.030148922,-2,19.01
13,1-0.35-75.pcd,-0.004886883,-0.002842504,0.337522511,-80.59577923,0,1.93E-05,-0.039410224,-0.029871674,-0.030206143,-2,19.01
14,1-0.35-90.pcd,-0.002106075,-0.002908627,0.336304829,85.95686598,1,1.80E-05,-0.040305195,-0.029806129,-0.029624514,-2,19.01
15,1-0.45-0.pcd,-0.020500177,-0.001853272,0.439397677,-23.28121342,0,1.82E-05,-0.037760642,-0.031665922,-0.028676366,-2,19.01
16,1-0.45-15.pcd,-0.014307262,-0.001973072,0.439576019,-40.95763864,0,1.70E-05,-0.03841611,-0.030371727,-0.029346302,-2,19.01
17,1-0.45-30.pcd,-0.006469867,0.00184722,0.439864059,-45.34628173,0,1.64E-05,-0.039126692,-0.03179047,-0.028602974,-2,19.01
18,1-0.45-45.pcd,-0.004785534,-0.000690081,0.438866388,-59.37366755,0,1.88E-05,-0.038182702,-0.029253762,-0.029410022,-2,19.01
19,1-0.45-60.pcd,-0.000585379,-0.000448883,0.438539144,-71.77700279,0,1.82E-05,-0.039325644,-0.029418614,-0.029119175,-2,19.01
20,1-0.45-75.pcd,0.000716835,-0.000133331,0.437762651,-80.32957739,0,1.80E-05,-0.038089832,-0.029267247,-0.029027726,-2,19.01
21,1-0.45-90.pcd,0.004063189,-0.001655666,0.436475409,86.15958919,1,1.67E-05,-0.039049993,-0.029019568,-0.029520957,-2,19.01
22,2-0.25-0.pcd,-0.016905325,-0.005727921,0.233060996,-7.591904672,0,1.28E-05,-0.036874794,-0.025181724,-0.03269495,-4,11.73
23,2-0.25-15.pcd,-0.014170908,-0.010148054,0.233811036,-22.86235565,0,1.50E-05,-0.036725002,-0.026822869,-0.032017058,-4,11.73
24,2-0.25-30.pcd,-0.007616741,-0.004663062,0.234491554,-32.11456389,0,1.25E-05,-0.037433385,-0.025967382,-0.030557885,-4,11.73
25,2-0.25-45.pcd,-0.003139618,-0.003924131,0.233709698,-48.1858282,0,1.30E-05,-0.038142324,-0.027449923,-0.032005832,-4,11.73
26,2-0.25-60.pcd,-0.000368132,-0.003913036,0.232565398,-58.47151761,0,1.20E-05,-0.037975912,-0.025562218,-0.032990338,-4,11.73
27,2-0.25-75.pcd,-0.001201229,-0.004749055,0.232867279,-72.65851248,0,1.14E-05,-0.037222611,-0.024412364,-0.03195724,-4,11.73
