no.,name,length,width,area_ratio,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,x,y,z,main_x,main_y,main_z,weight
1,1-0.25-0,222.3240878,200.3022716,0.760374224,0,0,1,31,774,1543,937,417,184,72,18,0,-0.018049246,-0.007923122,0.226745263,0.287290986,0.908275702,0.304136711,19.01
2,1-0.25-15,221.7205448,200.1449475,0.750897212,0,0,0,24,772,1518,868,418,256,26,10,0,-0.01267287,-0.007734639,0.227191299,-0.476311651,-0.814025316,-0.332400355,19.01
3,1-0.25-30,221.0701246,199.6021042,0.74520586,0,0,0,39,737,1511,960,394,213,42,36,0,-0.009796608,-0.006558693,0.227595376,-0.636398462,-0.693224714,-0.338284634,19.01
4,1-0.25-45,218.8264152,199.8099097,0.757735745,0,0,0,3,764,1567,913,368,198,61,48,0,-0.006883847,-0.006837393,0.227325057,-0.783695136,-0.51289976,-0.350365195,19.01
5,1-0.25-60,218.0114676,199.1607391,0.758740491,0,0,3,52,561,1811,762,347,254,55,27,0,-0.005860399,-0.00563862,0.227144896,-0.866612073,-0.370563799,-0.334164609,19.01
6,1-0.25-75,218.0481598,199.6722314,0.744404404,0,0,0,0,599,1742,851,398,222,51,0,0,-0.005340052,-0.005182032,0.226781234,0.930479881,0.192906905,0.311438785,19.01
7,1-0.25-90,216.9239498,199.9049774,0.755646758,0,0,0,12,675,1747,779,413,184,64,22,0,-0.005501575,-0.004055749,0.226066454,0.943734767,-0.032444419,0.329107959,19.01
8,1-0.35-0,154.2627628,138.2316896,0.789626625,0,0,0,0,400,812,380,165,95,58,18,0,-0.019343872,-0.004361219,0.329209318,-0.358295529,-0.852889241,-0.379742355,19.01
9,1-0.35-15,154.8063306,139.0143877,0.776429434,0,0,0,0,370,865,314,199,79,49,27,0,-0.012464865,-0.003784622,0.329365036,-0.597731943,-0.701603542,-0.387903331,19.01
10,1-0.35-30,153.951291,139.6710421,0.765723589,0,0,0,0,468,737,371,132,97,70,29,0,-0.008812881,-0.003342023,0.32981869,-0.700574001,-0.585207984,-0.408323015,19.01
11,1-0.35-45,153.6391877,138.1050325,0.785499528,0,0,0,0,403,740,414,112,96,58,30,0,-0.004611095,-0.003035447,0.329675991,-0.781420054,-0.489035533,-0.387591211,19.01
