no.,name,length,width,area_ratio,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,x,y,z,main_x,main_y,main_z
1,1-0.25-0,222.32408776378685,200.30227157973022,0.7603742239298704,0,0,1,31,774,1543,937,417,184,72,18,0,-0.01804924606051798,-0.007923122310032673,0.2267452632185066,0.28729098639217987,0.9082757017784021,0.3041367105378097
2,1-0.25-15,221.72054483064937,200.1449474755733,0.7508972119846149,0,0,0,24,772,1518,868,418,256,26,10,0,-0.012672870159378714,-0.0077346389720272645,0.22719129882579586,-0.47631165131993436,-0.8140253157566915,-0.3324003551804603
3,1-0.25-30,221.0701246211256,199.60210419732553,0.7452058595911248,0,0,0,39,737,1511,960,394,213,42,36,0,-0.009796608238823225,-0.006558692931007113,0.2275953762690743,-0.6363984621228982,-0.6932247136119465,-0.3382846343617234
4,1-0.25-45,218.82641522448793,199.80990966416056,0.7577357454355598,0,0,0,3,764,1567,913,368,198,61,48,0,-0.006883846828620103,-0.006837392733503298,0.22732505748342713,-0.7836951356757894,-0.5128997602966975,-0.3503651954827937
5,1-0.25-60,218.01146758828995,199.16073910286636,0.7587404913942408,0,0,3,52,561,1811,762,347,254,55,27,0,-0.0058603989850875456,-0.005638620260348635,0.22714489642820287,-0.8666120729291469,-0.3705637993211465,-0.3341646086678298
6,1-0.25-75,218.04815981796315,199.6722314193939,0.7444044039503462,0,0,0,0,599,1742,851,398,222,51,0,0,-0.005340051576659336,-0.00518203200850115,0.226781234227284,0.9304798811210866,0.19290690483449163,0.31143878515057366
7,1-0.25-90,216.92394980729998,199.90497742677644,0.7556467584107115,0,0,0,12,675,1747,779,413,184,64,22,0,-0.005501574953376294,-0.004055749203711537,0.22606645430441524,0.9437347673147336,-0.03244441860108736,0.32910795897857487
8,1-0.35-0,154.26276284314372,138.2316895650198,0.7896266248594386,0,0,0,0,400,812,380,165,95,58,18,0,-0.01934387187458507,-0.004361218641602707,0.329209317894192,-0.3582955293453708,-0.8528892412137583,-0.37974235459445443
9,1-0.35-15,154.80633061990713,139.01438774457844,0.7764294343141913,0,0,0,0,370,865,314,199,79,49,27,0,-0.012464864717861825,-0.0037846216297215034,0.32936503559642716,-0.5977319425041574,-0.7016035421271569,-0.3879033314948885
10,1-0.35-30,153.95129099815955,139.6710420953463,0.765723589356459,0,0,0,0,468,737,371,132,97,70,29,0,-0.008812880662829304,-0.003342022776554628,0.32981868992647073,-0.7005740012154165,-0.5852079840130019,-0.40832301462011644
11,1-0.35-45,153.63918770938616,138.10503249338888,0.7854995284253976,0,0,0,0,403,740,414,112,96,58,30,0,-0.004611095316288193,-0.0030354474550458735,0.3296759905288728,-0.7814200540613083,-0.4890355329396592,-0.38759121072754665
12,1-0.35-60,152.55163060419906,138.95682782792647,0.7822402620654452,0,0,0,0,289,819,424,161,93,36,2,0,-0.0008222922965986825,-0.0024704826671984727,0.32915493902412263,-0.8788720918733728,-0.33536996385501816,-0.3392798748378771
13,1-0.35-75,152.50573759698355,138.9280389266328,0.7664488789891413,0,0,0,0,294,849,389,170,89,35,1,0,2.845147214832987e-05,-0.0021870265684345823,0.3284116850410513,0.9287231641917667,0.15357701440240265,0.3374720506069754
14,1-0.35-90,151.64761785138597,139.60659010233005,0.7788481736370755,0,0,0,0,337,805,372,205,88,34,7,0,0.0014024311779274865,-0.003298233573122292,0.3272427720508671,0.9396223363541313,-0.055893903904233565,0.33761773728693234
15,1-0.45-0,118.20744477400736,106.16967551989597,0.8106743158432738,0,0,0,0,184,496,219,85,49,29,10,0,-0.020190696731529848,-0.0011249643768749967,0.4301682470429107,-0.36119057595370857,-0.8525588332178802,-0.37773642099272736
16,1-0.45-15,118.68024266911489,107.00467279516349,0.7981516814054684,0,0,0,0,235,476,211,86,47,40,20,0,-0.012207405865088772,-4.944393678922332e-05,0.4309321013632291,-0.5907476708796472,-0.6986869805121476,-0.40355135065204517
17,1-0.45-30,118.20744477400736,106.55045753069294,0.7865783969844412,0,0,0,0,127,528,217,90,38,19,13,0,-0.006706691230928281,0.0015572923340407025,0.43055913746124047,-0.6644624721490385,-0.6585025420004601,-0.35336104098290244
18,1-0.45-45,118.1905241548577,106.15083607772479,0.8063112936967115,0,0,0,0,319,386,171,136,69,30,16,0,-0.0004622453921197862,0.00117017565787933,0.4304228504525293,-0.7746485544071459,-0.46567404156495457,-0.427863651374454
19,1-0.45-60,116.49892703368559,107.07474025184464,0.8115219700597648,0,0,0,0,288,443,166,88,72,49,12,0,0.005427374939301431,0.001186686746046515,0.43005948966010815,-0.8610655645002753,-0.27183625904768727,-0.42973380353281593
20,1-0.45-75,116.70903992407786,105.94810050208545,0.7944941110792895,0,0,0,0,129,564,165,78,60,33,7,0,0.006727911188621622,0.0007171466652123546,0.4280836106853294,0.9034988300665827,0.14941190299356527,0.4017038054489374
21,1-0.45-90,116.43023662262307,106.38138934982942,0.8031641934365595,0,0,0,0,227,481,175,75,68,42,8,0,0.009021620453630105,-0.0021631405118866095,0.42781454241635725,0.9144969432913899,-0.06229281093302228,0.3997686160978215
22,2-0.25-0,207.95432190748045,156.52475842498527,0.7645161290322582,0,0,0,89,487,834,936,305,119,38,0,0,-0.016512435924608288,-0.0026995597455947346,0.22867802682336133,-0.12814223542474704,-0.947632854301441,-0.29252613720632337
23,2-0.25-15,206.15528128088303,157.74663229368798,0.7829878242728429,0,0,0,103,317,1138,815,320,35,99,0,0,-0.011351438852569519,-0.0034519736565404914,0.22982829431199142,-0.36823197656476675,-0.8705623567472692,-0.32638381462604055
24,2-0.25-30,203.3346994489627,158.68522300453813,0.7842879077560747,0,0,0,57,448,847,1036,286,73,17,0,0,-0.0065916750252934106,-0.0030550222248878402,0.22993468819826324,0.5157222904868619,0.8225773588449158,0.2395767263544342
25,2-0.25-45,201.75727991822254,158.75767697972907,0.7675180498502976,0,0,0,39,505,928,891,332,50,65,0,0,-0.003108046918324912,-0.0038974118765587214,0.22969761346975023,0.7199551870899247,0.6437088036577958,0.2594291900996508
26,2-0.25-60,202.20039564748632,156.31058825300352,0.7785531581250177,0,0,4,51,419,812,1023,349,47,20,0,0,-0.00023059785234678465,-0.003823241928792657,0.2288844465174314,0.8310373545196638,0.5102592168683593,0.22138754931984647
27,2-0.25-75,202.20039564748632,155.11608556174951,0.7811689502572301,0,0,0,29,450,830,1062,340,46,2,0,0,-0.0007318804539507046,-0.004639866985857198,0.22881186352663993,0.9343115839669793,0.29134414844808754,0.20537879936880757
28,2-0.25-90,206.22802913280242,155.64703659241314,0.7726773031927583,0,0,0,36,484,910,901,446,37,10,0,0,0.00022403505850283355,-0.0058963030268449155,0.22824544577549588,0.9678773901460126,0.08089504223843606,0.23805324989460833
29,2-0.35-0,144.9310180741169,109.59014554237986,0.800414965926209,0,0,0,0,251,629,306,137,87,31,0,0,-0.016925966106245676,-4.685029854265845e-06,0.33258894796668986,-0.1996022545729236,-0.9369296356314762,-0.2869177544957353
30,2-0.35-15,140.0071426749364,112.43220179290273,0.8179115284723741,0,0,0,0,262,564,381,142,66,29,0,0,-0.00990094576717106,0.0004459702755332323,0.33238104196675833,-0.48283700383567274,-0.8196975751599955,-0.3081628027582403
31,2-0.35-30,137.0,116.0,0.810470677070224,0,0,0,0,162,687,327,119,56,25,0,0,-0.005258515912021075,0.0007671918992587142,0.33192847406976733,-0.5898249361161498,-0.7572900020495098,-0.28038972436848153
32,2-0.35-45,125.19584657647394,124.19742348374221,0.7987651129599721,0,0,0,0,244,557,356,127,74,16,0,0,-4.919883144395881e-05,0.000705735465131005,0.3324508371542942,-0.7474798907194986,-0.5980695650956699,-0.28911348684598365
33,2-0.35-60,134.23859355639868,112.21853679316978,0.81485344465428,0,0,0,0,170,567,430,123,37,8,0,0,0.004915015123635206,-0.0005244393940449472,0.33155081483146054,-0.8549031758856801,-0.4432156403523232,-0.26963022087232374
34,2-0.35-75,138.36184445142382,108.29589096544707,0.8102632425483063,0,0,0,0,169,547,442,134,31,2,0,0,0.0065701376191064234,-0.0018545719574037775,0.3306751440830192,-0.9255721968610693,-0.27399060505780964,-0.26123793127689043
35,2-0.35-90,136.88316185711082,109.59014554237986,0.8026773797515524,0,0,0,0,148,567,447,130,34,4,0,0,0.007231568940974446,-0.004503642068977446,0.32962737832330863,0.97228909814383,0.0560244847248294,0.22696952822344937
36,2-0.45-0,105.94810050208545,83.81527307120105,0.8414349056377562,0,0,0,0,100,423,151,69,34,28,0,0,-0.019055189976024837,0.00411028899493168,0.4332964106086962,-0.23695285865441554,-0.9108425767738462,-0.33796322745452745
37,2-0.45-15,102.70345661174214,84.48076704197234,0.860488512042813,0,0,0,0,183,318,160,75,57,22,0,0,-0.010562331705608568,0.004356620432576692,0.434332892822087,-0.49822009825388164,-0.7786811043398314,-0.38135609532298453
38,2-0.45-30,97.0,87.0,0.8694158075601375,0,0,0,0,97,392,132,78,43,9,0,0,-0.0040093862182676385,0.0047289738098934735,0.4335835050732368,-0.618234084589176,-0.7218026368442094,-0.3111070074699856
39,2-0.45-45,102.7861858422619,83.81527307120105,0.8423628554558426,0,0,0,0,163,268,172,97,45,5,0,0,0.003441405655754667,0.005155553764679997,0.4334086984400011,-0.740441595949558,-0.5648901088024365,-0.3642051728968754
40,2-0.45-60,100.0,87.0,0.8459770114942529,0,0,0,0,145,309,172,75,50,8,0,0,0.008513506601661398,0.0028468983438471687,0.43325048628458585,-0.8549597092352405,-0.3890358981259752,-0.34306699863686796
41,2-0.45-75,106.0,81.0,0.8525506638714185,0,0,0,0,134,324,144,80,54,12,0,0,0.012590405642516053,0.0017163897768850307,0.43189787644385136,-0.8960405305346224,-0.1984364426941974,-0.39715783493480883
42,2-0.45-90,104.65658125507444,84.07734534343957,0.8259797192478535,0,0,0,0,162,288,145,82,46,15,0,2,0.014459440976243219,-0.0012653522682567542,0.43135037113513597,0.9228607178048964,0.00017849981745922728,0.3851338256638159
43,3-0.25-0,217.1128738697915,182.00274723201295,0.7162318128048516,0,0,0,25,797,1492,641,445,255,74,0,0,-0.030985854149906077,-0.004605805790099228,0.2271873134727805,0.1671271277906411,0.9181828432029393,0.3591779358538289
