no.,pcd_name,y_test,y_no_pca,y_with_pca
1,3-0.25-0,15.07,15.636999999999995,15.701399999999989
2,3-0.25-15,15.07,15.266199999999996,15.545799999999995
3,3-0.25-30,15.07,15.130999999999997,14.932799999999995
4,3-0.25-45,15.07,14.586199999999995,14.525999999999993
5,3-0.25-60,15.07,14.132399999999988,14.354799999999988
6,3-0.25-75,15.07,14.709399999999995,14.761399999999995
7,3-0.25-90,15.07,15.025999999999993,15.318999999999994
8,3-0.35-0,15.07,16.799599999999995,16.63399999999999
9,3-0.35-15,15.07,14.67239999999999,14.912999999999995
10,3-0.35-30,15.07,14.492399999999991,14.50259999999999
11,3-0.35-45,15.07,14.980999999999993,15.082799999999997
12,3-0.35-60,15.07,14.880399999999991,14.904799999999993
13,3-0.35-75,15.07,14.817799999999993,14.640199999999998
14,3-0.35-90,15.07,15.41799999999999,15.460199999999988
15,3-0.45-0,15.07,15.510399999999994,15.621399999999996
16,3-0.45-15,15.07,14.314199999999992,14.416999999999994
17,3-0.45-30,15.07,14.342599999999997,14.500399999999997
18,3-0.45-45,15.07,14.778599999999992,14.753399999999994
19,3-0.45-60,15.07,14.245599999999994,14.513599999999995
20,3-0.45-75,15.07,15.012199999999996,15.2474
21,3-0.45-90,15.07,14.995399999999993,15.053199999999995
22,5-0.25-0,12.42,15.169199999999998,15.373599999999996
23,5-0.25-15,12.42,14.438599999999997,14.797199999999991
24,5-0.25-30,12.42,14.009399999999996,13.810799999999997
25,5-0.25-45,12.42,14.387399999999998,14.197799999999996
26,5-0.25-60,12.42,13.797399999999996,13.833199999999994
27,5-0.25-75,12.42,14.118599999999994,14.149599999999996
28,5-0.25-90,12.42,14.572399999999995,14.640999999999995
29,5-0.35-0,12.42,14.569799999999992,14.443399999999992
30,5-0.35-15,12.42,14.530399999999991,14.212599999999993
31,5-0.35-30,12.42,14.264199999999995,14.031
32,5-0.35-45,12.42,14.587999999999989,14.358999999999995
33,5-0.35-60,12.42,14.837399999999988,14.496199999999995
34,5-0.35-75,12.42,14.906799999999992,14.95339999999999
35,5-0.35-90,12.42,14.6236,14.6732
36,5-0.45-0,12.42,12.930800000000007,12.669600000000003
37,5-0.45-15,12.42,12.325600000000003,12.4878
38,5-0.45-30,12.42,12.614600000000003,12.5752
39,5-0.45-45,12.42,12.607400000000002,12.689000000000004
40,5-0.45-60,12.42,12.822400000000005,12.783600000000003
41,5-0.45-75,12.42,12.9308,13.023200000000005
42,5-0.45-90,12.42,12.6318,12.757200000000003
43,6-0.25-0,16.41,17.371399999999998,17.440999999999992
44,6-0.25-15,16.41,17.331599999999995,17.62259999999999
45,6-0.25-30,16.41,16.313,16.246199999999998
46,6-0.25-45,16.41,16.2858,16.292999999999996
47,6-0.25-60,16.41,16.275999999999996,16.281999999999996
48,6-0.25-75,16.41,16.555599999999995,16.4852
49,6-0.25-90,16.41,16.25059999999999,16.2428
50,6-0.35-0,16.41,15.711999999999996,15.553599999999996
51,6-0.35-15,16.41,12.739200000000004,12.803600000000007
52,6-0.35-30,16.41,12.7972,12.9782
53,6-0.35-45,16.41,12.5492,12.620600000000001
54,6-0.35-60,16.41,13.2562,13.231400000000002
55,6-0.35-75,16.41,12.929000000000004,13.306
56,6-0.35-90,16.41,13.124399999999998,13.341799999999996
57,6-0.45-0,16.41,16.707599999999992,17.056399999999996
58,6-0.45-15,16.41,15.472199999999996,15.760599999999993
59,6-0.45-30,16.41,15.596199999999994,16.011599999999994
60,6-0.45-45,16.41,15.546999999999993,15.819999999999988
